loss,accuracy
340.7926940917969,43520.44140625
338.9220886230469,43249.98046875
336.02587890625,42909.06640625
333.85064697265625,42606.80859375
332.228515625,42390.1484375
330.9199523925781,42234.27734375
329.8185119628906,42112.8203125
329.1284484863281,42012.09375
328.4750671386719,41924.80078125
327.81134033203125,41845.96875
327.2127380371094,41772.7265625
326.6744689941406,41703.2265625
326.1138000488281,41635.765625
325.4734802246094,41569.69921875
325.1547546386719,41504.5234375
324.6474609375,41439.484375
324.02667236328125,41375.0546875
323.6737976074219,41310.65625
323.1055603027344,41246.4921875
322.7590026855469,41182.45703125
322.13818359375,41118.4140625
321.62139892578125,41054.5234375
321.2225036621094,40990.90234375
320.5539245605469,40927.578125
320.3388977050781,40864.13671875
319.6304016113281,40800.75390625
319.00738525390625,40737.51953125
318.4744873046875,40674.1875
318.11309814453125,40611.3046875
317.59869384765625,40548.65234375
317.18255615234375,40486.1640625
316.700439453125,40423.8125
316.1123352050781,40361.203125
315.558837890625,40298.6015625
315.17095947265625,40236.6640625
314.6195373535156,40174.81640625
314.1962585449219,40112.65234375
313.8301086425781,40050.96875
313.2074890136719,39989.15234375
312.6966857910156,39927.50390625
312.38580322265625,39865.99609375
311.8902282714844,39804.75390625
311.35919189453125,39743.78125
310.7398986816406,39683.00390625
310.5183410644531,39622.55078125
309.7620849609375,39562.1796875
309.4466552734375,39502.10546875
308.98260498046875,39441.89453125
308.61090087890625,39381.97265625
307.9894104003906,39322.1875
307.5240478515625,39262.62890625
307.1296691894531,39203.33203125
306.6133117675781,39144.17578125
306.222900390625,39085.3984375
305.685302734375,39026.8046875
305.2588195800781,38967.90234375
304.68194580078125,38909.49609375
304.407470703125,38851.0234375
303.8663330078125,38792.9375
303.3370361328125,38735.0625
302.8933410644531,38677.46484375
302.5062255859375,38619.4609375
302.1657409667969,38562.09765625
301.63140869140625,38504.890625
301.1199035644531,38447.765625
300.854736328125,38390.98046875
300.3279113769531,38333.6484375
299.8876953125,38276.26171875
299.2264099121094,38218.98828125
298.9939880371094,38162.33984375
298.50262451171875,38106.10546875
